Mapping

0010	Lord of Fate
0016	Undead Knight
0021	Sainted One
0030	Summoner
0049	Forest Dragon
0055	Warlock
0056	Witch
0069	Seer
0074	Sorceress
0076	Elvish Magi
0094	Fungus Master
0095	Great Druid
0102	Goblin Warlord
0127	Winged Stallion
0135	Dragon Lord
0139	Druid
0141	Lichlord
0150	Merfolk Shaman
0151	Nether Fiend
0170	Beast Master
0175	Paladin
0179	Centaur Shaman
0192	Sorcerer
0203	High Priest
0204	Priestess
0207	Great Hydra
0211	Cleric
0218	Sea Drake
0219	Sedge Beast
0220	Vampire Lord
0221	Arch Angel
0229	War Mage
0232	Thought Invoker
0245	Astral Visionary
0260	Conjurer
0261	Troll Shaman
0262	Enchantress
0263	Shapeshifter
0283	Crusader
0289	Mind Stealer
0291	Necromancer
0399	Elementalist
0414	Guardian of the Tusk
0426	Alt-A-Kesh
0434	Aga Galneer
0437	Ape Lord
0442	Queltosh
0456	Saltrem Tor
0897	Centaur Warchief
0990	Mandurang
0991	Whim
0992	Prismat
0993	Dracur
0994	Kiska Ra
0999	Arzakon
